Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
perkFromTheShadowsRank3LongDesc,,,,,,"Hide in the shadows 65% more effectively, noises from actions are muffled 60%, and sneak movement is 60% faster. \nEnemies will search for you for up to 20 seconds."
perkInfiltrator,,,,,,"The Infiltrator"
perkInfiltratorName,,,,,,"The Infiltrator"
perkInfiltratorDesc,,,,,,"Use your heightened agility to take less damage from traps."
perkInfiltratorRank1LongDesc,,,,,,"Pick up tin land mines, Take 50% less damage from land mines and traps trigger 2 seconds slower."
perkInfiltratorRank2LongDesc,,,,,,"Pick up cooking pot mines, Take 60% less damage from land mines and traps trigger 3 seconds slower."
perkInfiltratorRank3LongDesc,,,,,,"Pick up all mines, Take 75% less damage from land mines and traps trigger 5 seconds slower."
perkMetabolismDesc,,,,,,"Specialise in gut health to use less calories and better digest food. Also makes you use less oxygen when swimming (for some bizzarre fucking reason)"
perkMetabolismRank1Desc,,,,,,"Leaky Gut"
perkMetabolismRank2Desc,,,,,,"Strong Constitution"
perkMetabolismRank3Desc,,,,,,"Great Metabolism"
perkMetabolismRank4Desc,,,,,,"Intrinsic Immunity"
perkMetabolismRank5Desc,,,,,,"Iron Gut"
perkMetabolismRank1LongDesc,,,,,,"Use 5% less food to restore stamina, chance of dysentary is reduced by 1%, hold your breath for 84 seconds and buffs from consumables last 10% longer."
perkMetabolismRank2LongDesc,,,,,,"Use 10% less food to restore stamina, chance of dysentary is reduced by 2%, hold your breath for 108 seconds and buffs from consumables last 20% longer."
perkMetabolismRank3LongDesc,,,,,,"Use 15% less food to restore stamina, chance of dysentary is reduced by 3%, hold your breath for 132 seconds and buffs from consumables last 30% longer."
perkMetabolismRank4LongDesc,,,,,,"Use 20% less food to restore stamina, chance of dysentary is reduced by 4%, hold your breath for 156 seconds and buffs from consumables last 40% longer."
perkMetabolismRank5LongDesc,,,,,,"Use 25% less food to restore stamina, chance of dysentary is reduced by 5%, hold your breath for 180 seconds and buffs from consumables last 50% longer."
perkPainTolerance,,,,,,"Pain Tolerance"
perkPainToleranceName,,,,,,"Pain Tolerance"
perkPainToleranceDesc,,,,,,"Specialise in shrugging off blows, fighting through the pain and staying in the fight."
perkPainToleranceRank1LongDesc,,,,,,"Take 10% less damage (Calculated after armor rating), and gain 30% resistance to stuns and concussions."
perkPainToleranceRank2LongDesc,,,,,,"Take 20% less damage (Calculated after armor rating), and gain 66% resistance to stuns and concussions."
perkPainToleranceRank3LongDesc,,,,,,"Take 30% less damage (Calculated after armor rating), and gain 100% resistance to stuns and concussions."
perkTheHuntsman,,,,,,"The Huntsman"
perkTheHuntsmanName,,,,,,"The Huntsman"
perkTheHuntsmanDesc,,,,,,"Specialise in harvesting more meat, bone and leather from dead animals."
perkTheHuntsmanRank1LongDesc,,,,,,"Harvest 30% more resources from animals with any bladed tool or weapon."
perkTheHuntsmanRank2LongDesc,,,,,,"Harvest 66% more resources from animals with any bladed tool or weapon."
perkTheHuntsmanRank3LongDesc,,,,,,"Harvest 100% more resources from animals with any bladed tool or weapon."
perkTheCamel,,,,,,"The Camel"
perkTheCamelName,,,,,,"The Camel"
perkTheCamelDesc,,,,,,"Specialise in using less water to restore stamina allowing you to go longer before dehydration affects you."
perkTheCamelRank1Desc,,,,,,"Empty Glass Jar"
perkTheCamelRank2Desc,,,,,,"Certified Succulent"
perkTheCamelRank3Desc,,,,,,"The Camel"
perkTheCamelRank1LongDesc,,,,,,"Use 10% less water to restore stamina."
perkTheCamelRank2LongDesc,,,,,,"Use 20% less water to restore stamina."
perkTheCamelRank3LongDesc,,,,,,"Use 30% less water to restore stamina."
perkMiner69rDesc,,,,,,"Deal more block damage with mining tools."
perkMiner69erRank1LongDesc,,,,,,"Deal 20% more block damage with mining tools."
perkMiner69erRank2LongDesc,,,,,,"Deal 40% more block damage with mining tools."
perkMiner69erRank3LongDesc,,,,,,"Deal 60% more block damage with mining tools."
perkMiner69erRank4LongDesc,,,,,,"Deal 80% more block damage with mining tools."
perkMiner69erRank5LongDesc,,,,,,"Deal 100% more block damage with mining tools."
perkSalvageOperationsDesc,,,,,,"Deal more block damage with salvage tools."
perkSalvageOperationsRank1LongDesc,,,,,,"Deal 20% more block damage with salvage tools."
perkSalvageOperationsRank2LongDesc,,,,,,"Deal 40% more block damage with salvage tools."
perkSalvageOperationsRank3LongDesc,,,,,,"Deal 60% more block damage with salvage tools."
perkSalvageOperationsRank4LongDesc,,,,,,"Deal 80% more block damage with salvage tools."
perkSalvageOperationsRank5LongDesc,,,,,,"Deal 100% more block damage with salvage tools."
perkScrapHeapMaster,,,,,,"Scrapheap Master"
perkScrapMasterName,,,,,,"Scrapheap Master"
perkScrapMasterDesc,,,,,,"Specialise in finding more useful components when salvaging."
perkScrapheapMasterRank1Desc,,,,,,"Scrapper"
perkScrapheapMasterRank2Desc,,,,,,"Dumpster Diver"
perkScrapheapMasterRank3Desc,,,,,,"Salvage Savant"
perkScrapheapMasterRank4Desc,,,,,,"Expert Deconstructor"
perkScrapheapMasterRank5Desc,,,,,,"Scrapheap Master"
perkScrapheapMasterRank1LongDesc,,,,,,"Harvest 10% more resources with salvaging tools."
perkScrapheapMasterRank2LongDesc,,,,,,"Harvest 20% more resources with salvaging tools."
perkScrapheapMasterRank3LongDesc,,,,,,"Harvest 30% more resources with salvaging tools."
perkScrapheapMasterRank4LongDesc,,,,,,"Harvest 40% more resources with salvaging tools."
perkScrapheapMasterRank5LongDesc,,,,,,"Harvest 50% more resources with salvaging tools."
perkBadMechanic,,,,,,"Bad Mechanic"
perkBadMechanicName,,,,,,"Bad Mechanic"
perkBadMechanicDesc,,,,,,"Specialise in gathering even more resources from cars with salvaging tools."
perkBadMechanicRank1Desc,,,,,,"Gas Siphoneer"
perkBadMechanicRank2Desc,,,,,,"Wheel Dealer"
perkBadMechanicRank3Desc,,,,,,"Steel Worker"
perkBadMechanicRank1LongDesc,,,,,,"Harvest 30% more gas from cars."
perkBadMechanicRank2LongDesc,,,,,,"Harvest 60% more gas from cars and occasionally get wheels when harvesting cars."
perkBadMechanicRank3LongDesc,,,,,,"Harvest 100% more gas from cars and get steel from cars and shopping carts."
perkFastEddie,,,,,,"Fast Eddie"
perkFastEddieName,,,,,,"Fast Eddie"
perkFastEddieDesc,,,,,,"Specialise in looting containers faster."
perkFastEddieRank1Desc,,,,,,"Hungry Hippo"
perkFastEddieRank2Desc,,,,,,"Nimble fingers"
perkFastEddieRank3Desc,,,,,,"Fast Eddie"
perkFastEddieRank1LongDesc,,,,,,"Open containers 10% faster."
perkFastEddieRank2LongDesc,,,,,,"Open containers 20% faster."
perkFastEddieRank3LongDesc,,,,,,"Open containers 30% faster."
perkQualityJoe,,,,,,"Quality Joe"
perkQualityJoeName,,,,,,"Quality Joe"
perkQualityJoeDesc,,,,,,"Specialise in finding the best loot."
perkQualityJoeRank1Desc,,,,,,"Bargain Hunter"
perkQualityJoeRank2Desc,,,,,,"Professional Shopper"
perkQualityJoeRank3Desc,,,,,,"Quality Joe"
perkQualityJoeRank1LongDesc,,,,,,"Gain 10% higher lootstage."
perkQualityJoeRank2LongDesc,,,,,,"Gain 20% higher lootstage."
perkQualityJoeRank3LongDesc,,,,,,"Gain 30% higher lootstage."
perkLockpicking,,,,,,"Lockpicking"
perkLockpickingName,,,,,,"Lockpicking"
perkLockpickingDesc,,,,,,"Specialise in opening up the most secure containers, where inevitably, the best loot is kept."
perkLockpickingRank1Desc,,,,,,"Burglar"
perkLockpickingRank2Desc,,,,,,"Lock Smith"
perkLockpickingRank3Desc,,,,,,"Safe Cracker"
perkLockpickingRank4Desc,,,,,,"Vault Hunter"
perkLockpickingRank5Desc,,,,,,"Master Thief"
perkLockpickingRank1LongDesc,,,,,,"Lockpicking is 10% faster and you are 10% less likely to break a lockick. Gain an extra lockpick wherever they are looted."
perkLockpickingRank2LongDesc,,,,,,"Lockpicking is 20% faster and you are 20% less likely to break a lockick. Gain two extra lockpicks wherever they are looted."
perkLockpickingRank3LongDesc,,,,,,"Lockpicking is 30% faster and you are 30% less likely to break a lockick. Gain three extra lockpicks wherever they are looted."
perkLockpickingRank4LongDesc,,,,,,"Lockpicking is 40% faster and you are 40% less likely to break a lockick."
perkLockpickingRank5LongDesc,,,,,,"Lockpicking is 50% faster and you are 50% less likely to break a lockick."
perkAdvancedEngineering,,,,,,"Advanced Engineering"
perkAdvancedEngineeringName,,,,,,"Advanced Engineering"
perkAdvancedEngineeringDesc,,,,,,"Specialise in becoming a more efficient crafter. Unlocks Dew Collectors, Workbenches, Lockpicks, Cement Mixers and Nail Guns."
perkAdvancedEngineeringRank1LongDesc,,,,,,"Craft glue 20% cheaper. \nUnlocks: Dew Collector"
perkAdvancedEngineeringRank2LongDesc,,,,,,"Unlocks: Workbench and Dew Collector Gatherer mod."
perkAdvancedEngineeringRank3LongDesc,,,,,,"Forge recipes cost 10% less, crafting forged steel and electrical devices cost 15% less. \nUnlocks: Lockpicks and Dew Collector Tarp mod"
perkAdvancedEngineeringRank4LongDesc,,,,,,"Forge recipes cost 15% less, crafting forged steel and electrical devices cost 25% less. \nUnlocks: Cement Mixer"
perkAdvancedEngineeringRank5LongDesc,,,,,,"Forge recipes cost 20% less, crafting forged steel and electrical devices cost 35% less. \nUnlocks: Nail Gun and Dew Collector Water Filter Mod"
perkElectrician,,,,,,"Electrician"
perkElectricianName,,,,,,"Electrician"
perkElectricianDesc,,,,,,"Specialise in all things electronic. Unlock a variety of electrical recipes including traps."
perkElectricianRank1Desc,,,,,,"Novice"
perkElectricianRank2Desc,,,,,,"Apprentice"
perkElectricianRank3Desc,,,,,,"Journeyman"
perkElectricianRank4Desc,,,,,,"Expert"
perkElectricianRank5Desc,,,,,,"Master"
perkElectricianRank1LongDesc,,,,,,"Unlocks: Generator Bank, Electric Wire Relays, Switches, Trip Wire Posts and Lights. \nGain 15% XP from electrical trap kills."
perkElectricianRank2LongDesc,,,,,,"Unlocks: Motion sensors, Timed Relays, Pressure Plates, Spotlights, Speakers, Battery Banks, Powered Doors and Hatches and Drawbridges. \nUnlock and Craft Level 3 Batteries and gain 30% XP from electrical trap kills."
perkElectricianRank3LongDesc,,,,,,"Unlocks: Electric Fence Posts, Dart Traps and Blade Traps. \nCraft Level 4 Batteries and gain 45% XP from electrical trap kills."
perkElectricianRank4LongDesc,,,,,,"Unlocks: Shotgun Auto Turrets. \nCraft Level 5 Batteries and gain 60% XP from electrical trap kills."
perkElectricianRank5LongDesc,,,,,,"Unlocks: SMG Auto Turrets. \nCraft Level 6 Batteries and gain 75% XP from electrical trap kills."
perkBlacksmithCrafting,,,,,,"Blacksmithing"
perkBlacksmithCraftingName,,,,,,"Blacksmithing"
perkBlacksmithCraftingDesc,,,,,,"Specialise in crafting melee weapons and tools as well as using forges. Unlocks: Forge and Forge Tools."
perkBlacksmithCraftingRank1Desc,,,,,,"Novice"
perkBlacksmithCraftingRank2Desc,,,,,,"Apprentice"
perkBlacksmithCraftingRank3Desc,,,,,,"Journeyman"
perkBlacksmithCraftingRank4Desc,,,,,,"Expert"
perkBlacksmithCraftingRank5Desc,,,,,,"Master"
perkBlacksmithCraftingRank1LongDesc,,,,,,"Craft level 2 melee weapons and tools. \nUnlocks: Forge"
perkBlacksmithCraftingRank2LongDesc,,,,,,"Craft level 3 melee weapons and tools. \nUnlocks: Advanced Bellows"
perkBlacksmithCraftingRank3LongDesc,,,,,,"Craft level 4 melee weapons and tools. \nUnlocks: Anvil"
perkBlacksmithCraftingRank4LongDesc,,,,,,"Craft level 5 melee weapons and tools. \nUnlocks: Crucible"
perkBlacksmithCraftingRank5LongDesc,,,,,,"Craft level 6 melee weapons and tools."
perkMedicalCrafting,,,,,,"Medical Crafting"
perkMedicalCraftingName,,,,,,"Medical Crafting"
perkMedicalCraftingDesc,,,,,,"Specialise in formulating drugs and crafting medical items."
perkMedicalCraftingRank1Desc,,,,,,"First Aider"
perkMedicalCraftingRank2Desc,,,,,,"Pharmacist"
perkMedicalCraftingRank3Desc,,,,,,"Chemist"
perkMedicalCraftingRank4Desc,,,,,,"Drug Lord"
perkMedicalCraftingRank1LongDesc,,,,,,"Unlocks: First Aid Bandage."
perkMedicalCraftingRank2LongDesc,,,,,,"Unlocks: Plaster Cast, Fortbites, Recog and Herbal Antibiotics."
perkMedicalCraftingRank3LongDesc,,,,,,"Unlocks: First Aid Kit, Antibiotics and Chemistry Station."
perkMedicalCraftingRank4LongDesc,,,,,,"Unlocks: Steroids."
perkBluntCrafting,,,,,,"Blunt Crafting"
perkBluntCraftingName,,,,,,"Blunt Crafting"
perkBluntCraftingDesc,,,,,,"Use your expertise with blunt weapons to innovate new and violent ways to bludgeon your enemies."
perkBluntCraftingRank1Desc,,,,,,"Steel Blunt Weapons"
perkBluntCraftingRank1LongDesc,,,,,,"Unlocks: Steel Club, Knuckles and Sledgehammer."
perkBladeCrafting,,,,,,"Blade Crafting"
perkBladeCraftingName,,,,,,"Blade Crafting"
perkBladeCraftingDesc,,,,,,"Use your expertise with bladed weapons to innovate new weapons."
perkBladeCraftingRank1Desc,,,,,,"Steel Blades"
perkBladeCraftingRank1LongDesc,,,,,,"Unlocks: Steel Machete."
perkPierceCrafting,,,,,,"Pierce Crafting"
perkPierceCraftingName,,,,,,"Pierce Crafting"
perkPierceCraftingDesc,,,,,,"Use your expertise with piercing weapons to innovate new weapons."
perkPierceCraftingRank1Desc,,,,,,"Steel Piercing Weapons"
perkPierceCraftingRank1LongDesc,,,,,,"Unlocks: Steel Spear."
perkMiningCrafting,,,,,,"Mining Tool Crafting"
perkMiningCraftingName,,,,,,"Mining Tool Crafting"
perkMiningCraftingDesc,,,,,,"Innovate new mining tools using your advanced undertanding of mining."
perkMiningCraftingRank1Desc,,,,,,"Steel Tools"
perkMiningCraftingRank2Desc,,,,,,"Motor Tools"
perkMiningCraftingRank1LongDesc,,,,,,"Unlocks: Steel Pickaxe, Axe and Shovel."
perkMiningCraftingRank2LongDesc,,,,,,"Unlocks: Auger and Chainsaw."
perkSalvageCrafting,,,,,,"Salvage Tool Crafting"
perkSalvageCraftingName,,,,,,"Salvage Tool Crafting"
perkSalvageCraftingDesc,,,,,,"Innovate new salvaging tools using your advanced understanding of salvaging."
perkSalvageCraftingRank1Desc,,,,,,"Steel Ratchet"
perkSalvageCraftingRank2Desc,,,,,,"Impact Driver"
perkSalvageCraftingRank1LongDesc,,,,,,"Unlocks: Steel Ratchet."
perkSalvageCraftingRank2LongDesc,,,,,,"Unlocks: Impact Driver."
perkBowCrafting,,,,,,"Bow Crafting"
perkBowCraftingName,,,,,,"Bow Crafting"
perkBowCraftingDesc,,,,,,"Use your mastery of archery and engineering to create new bow and crossbow designs and craft higher level archery weapons."
perkBowCraftingRank1Desc,,,,,,"Novice"
perkBowCraftingRank2Desc,,,,,,"Apprentice"
perkBowCraftingRank3Desc,,,,,,"Journeyman"
perkBowCraftingRank4Desc,,,,,,"Expert"
perkBowCraftingRank5Desc,,,,,,"Master"
perkBowCraftingRank1LongDesc,,,,,,"Craft level 2 archery weapons. \nUnlocks: Wooden Bow"
perkBowCraftingRank2LongDesc,,,,,,"Craft level 3 archery weapons. \nUnlocks: Iron Crossbow"
perkBowCraftingRank3LongDesc,,,,,,"Craft level 4 archery weapons. \nUnlocks: Compound Bow"
perkBowCraftingRank4LongDesc,,,,,,"Craft level 5 archery weapons. \nUnlocks: Compound Crossbow "
perkBowCraftingRank5LongDesc,,,,,,"Craft level 6 archery weapons. "
perkGunsmithCrafting,,,,,,"Gunsmithing"
perkGunsmithCraftingName,,,,,,"Gunsmithing"
perkGunsmithCraftingDesc,,,,,,"Use your engineering skills to develop more powerful firearms."
perkGunsmithCraftingRank1Desc,,,,,,"Novice"
perkGunsmithCraftingRank2Desc,,,,,,"Apprentice"
perkGunsmithCraftingRank3Desc,,,,,,"Journeyman"
perkGunsmithCraftingRank4Desc,,,,,,"Expert"
perkGunsmithCraftingRank5Desc,,,,,,"Master"
perkGunsmithCraftingRank1LongDesc,,,,,,"Craft level 2 firearms."
perkGunsmithCraftingRank2LongDesc,,,,,,"Craft level 3 firearms."
perkGunsmithCraftingRank3LongDesc,,,,,,"Craft level 4 firearms."
perkGunsmithCraftingRank4LongDesc,,,,,,"Craft level 5 firearms."
perkGunsmithCraftingRank5LongDesc,,,,,,"Craft level 6 firearms."
perkPistolCrafting,,,,,,"Pistol Crafting"
perkPistolCraftingName,,,,,,"Pistol Crafting"
perkPistolCraftingDesc,,,,,,"Use your expertise in pistols to develop new handguns and SMGs."
perkPistolCraftingRank1Desc,,,,,,"9mm Handgun"
perkPistolCraftingRank2Desc,,,,,,".44 Revolver"
perkPistolCraftingRank3Desc,,,,,,"Desert Vulture & SMG"
perkPistolCraftingRank1LongDesc,,,,,,"Unlocks: 9mm Pistol."
perkPistolCraftingRank2LongDesc,,,,,,"Unlocks: .44 Magnum."
perkPistolCraftingRank3LongDesc,,,,,,"Unlocks: Desert Vulture and SMG-5."
perkShotgunCrafting,,,,,,"Shotgun Crafting"
perkShotgunCraftingName,,,,,,"Shotgun Crafting"
perkShotgunCraftingDesc,,,,,,"Use your expertise in shotguns to develop new shotguns."
perkShotgunCraftingRank1Desc,,,,,,"Double Barrel"
perkShotgunCraftingRank2Desc,,,,,,"Pump Action"
perkShotgunCraftingRank3Desc,,,,,,"Auto Shotgun"
perkShotgunCraftingRank1LongDesc,,,,,,"Unlocks: Double Barrel Shotgun."
perkShotgunCraftingRank2LongDesc,,,,,,"Unlocks: Pump Action Shotgun."
perkShotgunCraftingRank3LongDesc,,,,,,"Unlocks: Auto Shotgun."
perkRifleCrafting,,,,,,"Rifle Crafting"
perkRifleCraftingName,,,,,,"Rifle Crafting"
perkRifleCraftingDesc,,,,,,"Use your expertise in rifles to develop new non-automatic rifles."
perkRifleCraftingRank1Desc,,,,,,"Hunting Rifle"
perkRifleCraftingRank2Desc,,,,,,"Lever Action Rifle"
perkRifleCraftingRank3Desc,,,,,,"Sniper Rifle"
perkRifleCraftingRank1LongDesc,,,,,,"Unlocks: Hunting Rifle."
perkRifleCraftingRank2LongDesc,,,,,,"Unlocks: Lever Action Rifle."
perkRifleCraftingRank3LongDesc,,,,,,"Unlocks: Sniper Rifle."
perkAutoRifleCrafting,,,,,,"Automatic Rifle Crafting"
perkAutoRifleCraftingName,,,,,,"Automatic Rifle Crafting"
perkAutoRifleCraftingDesc,,,,,,"Use your expertise in automatic rifles to develop new assault rifles and machine guns."
perkAutoRifleCraftingRank1Desc,,,,,,"AK-47"
perkAutoRifleCraftingRank2Desc,,,,,,"Tactical Assault Rifle"
perkAutoRifleCraftingRank3Desc,,,,,,"M60 Machine Gun"
perkAutoRifleCraftingRank1LongDesc,,,,,,"Unlocks: AK-47."
perkAutoRifleCraftingRank2LongDesc,,,,,,"Unlocks: Tactical Assault Rifle."
perkAutoRifleCraftingRank3LongDesc,,,,,,"Unlocks: M60 Machine Gun."
perk9mmCrafting,,,,,,"9mm Crafting"
perk9mmCraftingName,,,,,,"9mm Crafting"
perk9mmCraftingDesc,,,,,,"Use your engineering expertise to make custom 9mm ammunition."
perk9mmCraftingRank1Desc,,,,,,"9mm Bullet"
perk9mmCraftingRank2Desc,,,,,,"9mm HiPower"
perk9mmCraftingRank3Desc,,,,,,"9mm Armor Piercing"
perk9mmCraftingRank4Desc,,,,,,"9mm Bulk Crafter"
perk9mmCraftingRank1LongDesc,,,,,,"Unlocks: 9mm Bullet."
perk9mmCraftingRank2LongDesc,,,,,,"Unlocks: 9mm HP Bullet."
perk9mmCraftingRank3LongDesc,,,,,,"Unlocks: 9mm AP Bullet."
perk9mmCraftingRank4LongDesc,,,,,,"Unlocks: Bulk Crafted 9mm, 9mm HP and 9mm AP. Bulk Crafted Ammo is 20% cheaper to craft."
perk44Crafting,,,,,,".44 Crafting"
perk44CraftingName,,,,,,".44 Crafting"
perk44CraftingDesc,,,,,,"Use your engineering expertise to make custom .44 magnum ammunition."
perk44CraftingRank1Desc,,,,,,".44 Magnum Bullet"
perk44CraftingRank2Desc,,,,,,".44 Magnum HiPower"
perk44CraftingRank3Desc,,,,,,".44 Magnum Armor Piercing"
perk44CraftingRank4Desc,,,,,,".44 Magnum Bulk Crafter"
perk44CraftingRank1LongDesc,,,,,,"Unlocks: .44 Magnum Bullet."
perk44CraftingRank2LongDesc,,,,,,"Unlocks: .44 Magnum HP Bullet."
perk44CraftingRank3LongDesc,,,,,,"Unlocks: .44 Magnum AP Bullet."
perk44CraftingRank4LongDesc,,,,,,"Unlocks: Bulk Crafted .44 Magnum,.44 Magnum HP and .44 Magnum AP. Bulk Crafted Ammo is 20% cheaper to craft."
perk762mmCrafting,,,,,,"7.62mm Crafting"
perk762mmCraftingName,,,,,,"7.62mm Crafting"
perk762mmCraftingDesc,,,,,,"Use your engineering expertise to make custom 7.62mm ammunition."
perk762mmCraftingRank1Desc,,,,,,"7.62mm Bullet"
perk762mmCraftingRank2Desc,,,,,,"7.62mm HiPower"
perk762mmCraftingRank3Desc,,,,,,"7.62mm Armor Piercing"
perk762mmCraftingRank4Desc,,,,,,"7.62mm Bulk Crafter"
perk762mmCraftingRank1LongDesc,,,,,,"Unlocks: 7.62mm Bullet."
perk762mmCraftingRank2LongDesc,,,,,,"Unlocks: 7.62mm HP Bullet."
perk762mmCraftingRank3LongDesc,,,,,,"Unlocks: 7.62mm AP Bullet."
perk762mmCraftingRank4LongDesc,,,,,,"Unlocks: Bulk Crafted 7.62mm, 7.62mm HP and 7.62mm AP. Bulk Crafted Ammo is 20% cheaper to craft."
perkShellCrafting,,,,,,"Shell Crafting"
perkShellCraftingName,,,,,,"Shell Crafting"
perkShellCraftingDesc,,,,,,"Use your engineering expertise to make custom shotgun shells."
perkShellCraftingRank1Desc,,,,,,"Shells"
perkShellCraftingRank2Desc,,,,,,"Slugs"
perkShellCraftingRank3Desc,,,,,,"Bulk Crafter"
perkShellCraftingRank1LongDesc,,,,,,"Unlocks: Shotgun Shell."
perkShellCraftingRank2LongDesc,,,,,,"Unlocks: Armor Piercing Slug and Breaching Slug."
perkShellCraftingRank3LongDesc,,,,,,"Unlocks: Bulk Crafted Shotgun Shells, AP Slugs and Breaching Slugs. Bulk Crafted Ammo is 20% cheaper to craft."
perkArrowCrafting,,,,,,"Arrow Crafting"
perkArrowCraftingName,,,,,,"Arrow Crafting"
perkArrowCraftingDesc,,,,,,"Use your archery, engineering and science expertise to fletch custom arrows and bolts."
perkArrowCraftingRank1Desc,,,,,,"Primitive Bulk Crafter"
perkArrowCraftingRank2Desc,,,,,,"Steel Arrows and Bolts"
perkArrowCraftingRank3Desc,,,,,,"Steel Bulk Crafter"
perkArrowCraftingRank4Desc,,,,,,"Special Arrows and Bolts"
perkArrowCraftingRank5Desc,,,,,,"Special Bulk Crafter"
perkArrowCraftingRank1LongDesc,,,,,,"Unlocks: Bulk Crafted Stone Arrows and Bolts. Bulk Crafted Ammo is 20% cheaper to craft."
perkArrowCraftingRank2LongDesc,,,,,,"Unlocks: Steel Arrows and Bolts. Bulk Craft Iron Arrows and Bolts. Bulk Crafted Ammo is 20% cheaper to craft."
perkArrowCraftingRank3LongDesc,,,,,,"Unlocks: Bulk Crafted Steel Arrows and Bolts. Bulk Crafted Ammo is 20% cheaper to craft."
perkArrowCraftingRank4LongDesc,,,,,,"Unlocks: Flaming and Explosive Arrows and Bolts."
perkArrowCraftingRank5LongDesc,,,,,,"Unlocks: Bulk Crafted Special Arrows and Bolts. Bulk Crafted Ammo is 20% cheaper to craft."
perkMasterChef,,,,,,"Master Chef"
perkMasterChefName,,,,,,"Master Chef"
perkMasterChefDesc,,,,,,"Use your survivalism and science skills to develop new food and drink recipes."
perkMasterChefRank1Desc,,,,,,"Baker"
perkMasterChefRank2Desc,,,,,,"Army Cook"
perkMasterChefRank3Desc,,,,,,"Bachelor"
perkMasterChefRank4Desc,,,,,,"Commercial Caterer"
perkMasterChefRank5Desc,,,,,,"Grandpa"
perkMasterChefRank1LongDesc,,,,,,"Use 20% less of a recipes main ingredient and cook 20% faster. \nUnlocks: Corn Bread, Pumpkin Bread, Blueberry Pie, Pumpkin Pie, Pumpkin Cheesecake and Honey Tea."
perkMasterChefRank2LongDesc,,,,,,"Cook 30% faster. \nUnlocks: Vegetable Stew and Meat Stew"
perkMasterChefRank3LongDesc,,,,,,"Use 40% less of a recipes main ingredient and cook 40% faster. \nUnlocks: Yucca Juice Smoothie, Steak and Potato Meal, Beer,Chilli Dog and Honey Glazed Sham."
perkMasterChefRank4LongDesc,,,,,,"Cook 60% faster. \nUnlocks: Tuna Fish Gravy Toast, Shepards Pie, Spaghetti, Gumbo Stew, Hobo Stew and Honey Brisket."
perkMasterChefRank5LongDesc,,,,,,"Cook 80% faster. \nUnlocks: Grandpas Awesome Sauce, Grandpas Learning Elixer and Grandpas Moonshine."
perkGreaseMonkey,,,,,,"Grease Monkey"
perkGreaseMonkeyName,,,,,,"Grease Monkey"
perkGreaseMonkeyDesc,,,,,,"Use your mastery of engineering and science to create vehicles."
perkGreaseMonkeyRank1LongDesc,,,,,,"Unlocks: Bicycle chassis and handlebars and wheels. \nCraft Bicycle parts 33% cheaper and repair kits are 10% more effective on vehicles."
perkGreaseMonkeyRank2LongDesc,,,,,,"Unlocks: Minibike chassis and handlebars, oil cans and gasoline cans. \nCraft Minibike parts 33% cheaper and repair kits are 20% more effective on vehicles."
perkGreaseMonkeyRank3LongDesc,,,,,,"Unlocks: Motorcycle chassis and handlebars and bulk craft gasoline. \nCraft Motorcycle parts 33% cheaper and repair kits are 30% more effective on vehicles."
perkGreaseMonkeyRank4LongDesc,,,,,,"Unlocks: 4x4 chassis and accessories. \nCraft 4x4 Truck parts 33% cheaper and repair kits are 40% more effective on vehicles."
perkGreaseMonkeyRank5LongDesc,,,,,,"Unlocks: Gyrocopter chassis and accessories.\nCraft Gyrocopter parts 33% cheaper and repair kits are 50% more effective on vehicles."
perkRoboticsCrafting,,,,,,"Robotics Crafting"
perkRoboticsCraftingName,,,,,,"Robotics Crafting"
perkRoboticsCraftingDesc,,,,,,"Use your scientific and engineering genius to develop new robotics weapons and craft higher quality robots."
perkRoboticsCraftingRank1Desc,,,,,,"Stun Baton"
perkRoboticsCraftingRank2Desc,,,,,,"Robotic Sledge"
perkRoboticsCraftingRank3Desc,,,,,,"Robotic Turret"
perkRoboticsCraftingRank4Desc,,,,,,"Ammo Crafter"
perkRoboticsCraftingRank5Desc,,,,,,"Robotic Drone"
perkRoboticsCraftingRank1LongDesc,,,,,,"Craft level 2 robots. \nUnlocks: Stun Baton \nNote: Stun Baton quality is governed by Blacksmithing. Craft Level 2 Robotics Weapons"
perkRoboticsCraftingRank2LongDesc,,,,,,"Craft level 3 robots.\nUnlocks: Robotic Sledge Turret and Robotic Turret Ammo. Craft Level 3 Robotics Weapons"
perkRoboticsCraftingRank3LongDesc,,,,,,"Craft level 4 robots. \nUnlocks: Robotic Turret, Robotic Turret Shells and Bulk Craft Regular Robotic Turret Ammo. Craft Level 4 Robotics Weapons"
perkRoboticsCraftingRank4LongDesc,,,,,,"Craft level 5 robots. \nUnlocks: Robotic Turret AP Ammo and Robotic Turret Shell Bulk Crafting. Craft Level 5 Robotics Weapons"
perkRoboticsCraftingRank5LongDesc,,,,,,"Craft level 6 robots. \nUnlocks: Robotic Drone and Bulk Craft AP Robotic ammo. Craft Level 6 Robotics Weapons"
perkExplosivesCrafting,,,,,,"Explosives Crafting"
perkExplosivesCraftingName,,,,,,"Explosives Crafting"
perkExplosivesCraftingDesc,,,,,,"Use your engineering and scientific know-how to formulate new explosive weapons \nNote: Rocket Launcher quality is governed by Gunsmithing."
perkExplosivesCraftingRank1Desc,,,,,,"Anarchist"
perkExplosivesCraftingRank2Desc,,,,,,"Bomber"
